Level One - Lesson 8 Assignment: Development Progress Check-in (1475),PAP-2022-Summer-L1-G1,Practice,10
Level One - Lesson 10 Assignment: User Research (1458),PAP-2022-Summer-L1-G1,Practice,0
Level One - Lesson 12 Assignment: Final Presentation (1461),PAP-2022-Summer-L1-G1,Practice,20
Level One - Lesson 13 Assignment: Your HTML (1462),PAP-2022-Summer-L1-G1,Practice,10
Level Two - Lesson 3 Assignment: Terminus Quiz (1480),PAP-2022-Summer-L1-G1,Quiz,0
Level One - Lesson 15 Quiz  (1451),PAP-2022-Summer-L1-G1,Quiz,10
Level Two - Lesson 7 Quiz: Formatting Text (1446),PAP-2022-Summer-L1-G1,Quiz,10
Level One - Lesson 14: Assignment (1463),PAP-2022-Summer-L1-G1,Practice,0
Level Two-Lesson 5 Quiz: Intro To HTML (1452),PAP-2022-Summer-L1-G1,Quiz,10
Level Two - Lesson 6 Quiz: Intro to CSS (1450),PAP-2022-Summer-L1-G1,Quiz,10
Level Two - Lesson 8 Quiz: The Box Model (1447),PAP-2022-Summer-L1-G1,Quiz,10
Level Two - Lesson 9 Quiz: Layout (1445),PAP-2022-Summer-L1-G1,Quiz,10
Level Two-Lesson 12: Final Exam (1453),PAP-2022-Summer-L1-G1,Exam,40
Level Two - Lesson 12: Cumulative Resource Response (1478),PAP-2022-Summer-L1-G1,Practice,0
Level One - Lesson 3: Quiz  (1516),PAP-2022-Summer-L1-G1,Quiz,5
Level One - Lesson 4 Assignment: Game Design Statement (1468),PAP-2022-Summer-L1-G1,Practice,10
Level One - Lesson 5 Assignment: Catch Game (1469),PAP-2022-Summer-L1-G1,Practice,10
Level One - Lesson 6 Assignment:Jumping Game (1471),PAP-2022-Summer-L1-G1,Practice,10
Level One - Lesson 7 Assignment: Virtual Pet (1473),PAP-2022-Summer-L1-G1,Practice,10
Level One - Lesson 9 Assignment: Development Progress Check-in  (1476),PAP-2022-Summer-L1-G1,Practice,10
Level One - Lesson 11 Assignment: Submit Final Version of Game with Purpose (1459),PAP-2022-Summer-L1-G1,Practice,30
Level Two - Lesson 1 Assignment: Value Propositions (1477),PAP-2022-Summer-L1-G1,Practice,10
Level Two - Lesson 4 Assignment: Classwork Repository (1481),PAP-2022-Summer-L1-G1,Practice,10
Level Two - Lesson 5 Assignment: My First Page (1482),PAP-2022-Summer-L1-G1,Practice,10
Level Two - Lesson 8 Assignment: Boxes (1488),PAP-2022-Summer-L1-G1,Practice,10
Level One - Lesson 15: Assignment (1464),PAP-2022-Summer-L1-G1,Practice,0
Level One - Lesson 11: Last Development Progress Check-In (1460),PAP-2022-Summer-L1-G1,Practice,10
Module 8 Discussion (1498),PAP-2022-Summer-L1-G1,Practice,0
Level One - Lesson 1 Assignment (1456),PAP-2022-Summer-L1-G1,Practice,0
Level One - Lesson 2 Assignment: Core Principles (1465),PAP-2022-Summer-L1-G1,Practice,0
Module 2 Assignment (1492),PAP-2022-Summer-L1-G1,Practice,0
Module 3 Assignment (1493),PAP-2022-Summer-L1-G1,Practice,0
Module 1 Discussion (1454),PAP-2022-Summer-L1-G1,Practice,0
Module 4 Assignment (1494),PAP-2022-Summer-L1-G1,Practice,0
Module 5 Assignment (1495),PAP-2022-Summer-L1-G1,Practice,0
Module 6 Assignment (1496),PAP-2022-Summer-L1-G1,Practice,0
Module 8 Assignment (1497),PAP-2022-Summer-L1-G1,Practice,0
Module 9 Assignment (1499),PAP-2022-Summer-L1-G1,Practice,0
Module 10 Assignment (1489),PAP-2022-Summer-L1-G1,Practice,0
Level Two - Lesson 2 Assignment: Value Propositions (1479),PAP-2022-Summer-L1-G1,Practice,10
Level One - Lesson 3 Assignment: Moveable Objects (1466),PAP-2022-Summer-L1-G1,Practice,10
Draft Paper (1455),PAP-2022-Summer-L1-G1,Practice,50
Level Two - Lesson 6 Assignment: "My Style" First Page (1486),PAP-2022-Summer-L1-G1,Practice,10
Level Two - Lesson 7 Assignment: Formatting a Poem (1487),PAP-2022-Summer-L1-G1,Practice,10
Module 11 Assignment (1490),PAP-2022-Summer-L1-G1,Practice,0
Level Two - Lesson 1 Assignment: Value Propositions (1507),PAP-2022-Summer-L2-G2,Practice,10
Level Two - Lesson 2 Assignment: Value Propositions (1509),PAP-2022-Summer-L2-G2,Practice,10
Level Two - Lesson 3 Assignment: Terminus Quiz (1510),PAP-2022-Summer-L2-G2,Quiz,10
Level Two - Lesson 4 Assignment: Classwork Repository (1511),PAP-2022-Summer-L2-G2,Practice,10
Level Two - Lesson 5 Assignment: My First Page (1512),PAP-2022-Summer-L2-G2,Practice,10
